user_id,order_date,gmv,margin,items,order_id,is_first_order
1,2026-06-03,2827.0,214.0,3,1,True
1,2026-07-04,1255.0,273.0,3,2,False
1,2026-07-24,2008.0,208.0,4,3,False
1,2026-07-26,1096.0,186.0,1,4,False
1,2026-08-10,2261.0,228.0,4,5,False
2,2026-03-17,1968.0,182.0,3,1,True
2,2026-03-23,2314.0,221.0,3,2,False
2,2026-03-30,2450.0,142.0,5,3,False
2,2026-04-14,1799.0,125.0,6,4,False
3,2026-06-23,1073.0,205.0,3,1,True
3,2026-07-08,877.0,172.0,3,2,False
3,2026-07-17,1604.0,234.0,5,3,False
4,2026-04-25,2105.0,183.0,1,1,True
4,2026-05-19,1415.0,256.0,1,2,False
4,2026-06-08,2515.0,183.0,2,3,False
4,2026-07-28,300.0,108.0,4,4,False
5,2025-09-14,300.0,155.0,3,1,True
5,2025-09-17,1368.0,90.0,3,2,False
5,2025-10-06,1615.0,154.0,3,3,False
5,2025-10-09,2532.0,173.0,4,4,False
5,2025-11-23,300.0,245.0,1,5,False
5,2025-11-26,2412.0,179.0,3,6,False
5,2025-12-02,401.0,94.0,3,7,False
6,2026-08-12,682.0,206.0,5,1,True
7,2026-05-19,1774.0,299.0,1,1,True
7,2026-05-20,563.0,200.0,2,2,False
7,2026-06-02,1787.0,188.0,3,3,False
7,2026-06-12,1973.0,203.0,6,4,False
7,2026-06-13,1889.0,283.0,1,5,False
7,2026-07-29,2344.0,155.0,1,6,False
7,2026-08-13,1576.0,314.0,2,7,False
7,2026-08-14,588.0,229.0,5,8,False
8,2026-05-26,3086.0,235.0,3,1,True
8,2026-06-05,300.0,161.0,8,2,False
8,2026-06-10,1982.0,268.0,4,3,False
8,2026-06-27,3000.0,163.0,5,4,False
8,2026-06-29,2004.0,253.0,7,5,False
9,2025-09-20,2478.0,83.0,3,1,True
9,2025-09-23,845.0,40.0,5,2,False
9,2025-09-26,2400.0,64.0,5,3,False
9,2025-09-29,1856.0,121.0,1,4,False
9,2025-10-01,3327.0,20.0,1,5,False
9,2025-10-02,1979.0,151.0,4,6,False
9,2025-10-04,2159.0,-53.0,5,7,False
9,2025-10-06,1129.0,74.0,4,8,False
9,2025-10-07,2847.0,36.0,6,9,False
9,2025-10-08,1963.0,77.0,3,10,False
9,2025-10-16,1814.0,11.0,4,11,False
9,2025-10-20,3049.0,87.0,5,12,False
9,2025-10-22,3718.0,115.0,5,13,False
9,2025-10-29,741.0,155.0,3,14,False
9,2025-10-30,1847.0,65.0,6,15,False
9,2025-10-31,1831.0,67.0,3,16,False
9,2025-11-01,1686.0,40.0,1,17,False
9,2025-11-09,300.0,107.0,3,18,False
9,2025-11-10,2948.0,25.0,4,19,False
9,2025-11-12,2245.0,14.0,2,20,False
9,2025-11-20,1331.0,70.0,1,21,False
9,2025-11-21,300.0,3.0,1,22,False
9,2025-11-22,2152.0,22.0,5,23,False
9,2025-11-26,1870.0,-40.0,1,24,False
9,2025-11-27,2785.0,87.0,2,25,False
9,2025-11-29,2385.0,51.0,4,26,False
9,2025-12-01,2231.0,31.0,2,27,False
9,2025-12-06,597.0,-18.0,3,28,False
9,2025-12-12,1169.0,21.0,3,29,False
9,2025-12-13,1730.0,127.0,4,30,False
9,2025-12-15,1219.0,43.0,3,31,False
9,2025-12-16,3567.0,75.0,4,32,False
9,2025-12-19,1047.0,92.0,4,33,False
9,2025-12-22,1759.0,54.0,5,34,False
9,2025-12-25,1375.0,54.0,2,35,False
9,2025-12-27,1037.0,31.0,1,36,False
9,2025-12-28,1910.0,68.0,3,37,False
9,2026-01-01,2895.0,5.0,2,38,False
9,2026-01-05,2902.0,37.0,2,39,False
9,2026-01-06,1284.0,71.0,5,40,False
9,2026-01-08,1771.0,68.0,5,41,False
10,2026-01-21,2330.0,236.0,1,1,True
10,2026-04-15,1977.0,200.0,6,2,False
11,2026-01-31,2424.0,214.0,2,1,True
11,2026-02-11,1331.0,264.0,2,2,False
11,2026-03-04,2417.0,344.0,3,3,False
11,2026-03-22,2158.0,245.0,3,4,False
11,2026-03-28,1867.0,167.0,3,5,False
11,2026-04-01,1170.0,302.0,4,6,False
11,2026-04-15,2140.0,163.0,5,7,False
12,2026-07-18,2401.0,273.0,6,1,True
12,2026-07-20,477.0,284.0,4,2,False
12,2026-07-22,1891.0,99.0,2,3,False
12,2026-07-23,2302.0,267.0,3,4,False
12,2026-07-24,3122.0,121.0,2,5,False
12,2026-07-29,1707.0,141.0,3,6,False
12,2026-07-31,411.0,158.0,6,7,False
12,2026-08-01,2291.0,166.0,3,8,False
12,2026-08-02,2206.0,166.0,8,9,False
12,2026-08-03,2110.0,165.0,1,10,False
12,2026-08-04,3843.0,152.0,6,11,False
12,2026-08-09,300.0,211.0,1,12,False
12,2026-08-12,1995.0,70.0,3,13,False
12,2026-08-13,1551.0,208.0,6,14,False
12,2026-08-14,876.0,103.0,3,15,False
12,2026-08-15,1446.0,79.0,2,16,False
13,2026-05-10,2352.0,169.0,2,1,True
13,2026-05-22,4062.0,-15.0,1,2,False
13,2026-05-29,3056.0,121.0,5,3,False
13,2026-06-06,1340.0,101.0,5,4,False
13,2026-06-20,300.0,96.0,4,5,False
13,2026-07-15,1270.0,163.0,4,6,False
14,2026-06-20,2982.0,209.0,3,1,True
14,2026-06-29,1139.0,231.0,5,2,False
14,2026-06-30,3347.0,221.0,2,3,False
14,2026-07-29,1811.0,236.0,7,4,False
14,2026-08-12,1701.0,140.0,4,5,False
15,2026-01-20,2290.0,23.0,7,1,True
15,2026-01-21,2668.0,16.0,4,2,False
15,2026-02-07,1860.0,28.0,1,3,False
15,2026-02-09,1743.0,12.0,3,4,False
15,2026-03-08,1167.0,103.0,5,5,False
15,2026-04-11,2318.0,-39.0,2,6,False
15,2026-04-13,2058.0,38.0,4,7,False
16,2025-10-26,843.0,154.0,2,1,True
16,2025-11-03,2027.0,162.0,2,2,False
16,2025-11-04,535.0,188.0,2,3,False
16,2025-11-07,2893.0,151.0,4,4,False
16,2025-11-12,1328.0,171.0,5,5,False
16,2025-11-16,3266.0,151.0,1,6,False
16,2025-11-18,1450.0,125.0,5,7,False
16,2025-11-25,624.0,-34.0,5,8,False
16,2025-11-26,1542.0,143.0,6,9,False
16,2025-12-06,1968.0,191.0,8,10,False
16,2025-12-14,2046.0,125.0,2,11,False
16,2026-01-01,763.0,151.0,6,12,False
16,2026-01-02,300.0,142.0,3,13,False
16,2026-01-06,2562.0,179.0,2,14,False
16,2026-01-16,2246.0,115.0,2,15,False
