user_id,reg_date,channel,promo_hunter,bf_cohort,activated_7d
1,2026-05-21,organic,False,False,False
2,2026-01-14,organic,False,False,False
3,2026-06-22,organic,False,False,False
4,2026-04-22,organic,False,False,True
5,2025-09-05,tv,False,False,False
6,2026-08-05,ctx_category,False,False,False
7,2026-05-16,organic,False,False,False
8,2026-05-25,ctx_category,False,False,False
9,2025-09-18,ctx_category,True,False,True
10,2026-01-18,organic,False,False,False
11,2025-12-19,organic,False,False,False
12,2026-07-18,ctx_category,False,False,True
13,2026-04-02,cpa,False,False,False
14,2026-06-08,organic,False,False,False
15,2026-01-16,cpa,True,False,False
16,2025-10-26,ctx_category,False,False,True
17,2026-02-27,ctx_brand,False,False,False
18,2025-08-25,organic,False,False,False
19,2026-06-10,ctx_category,False,False,False
20,2026-03-28,organic,False,False,False
21,2026-05-15,organic,False,False,False
22,2025-12-13,cpa,False,False,False
23,2026-08-03,ctx_brand,False,False,False
24,2026-07-05,organic,False,False,False
25,2026-05-23,organic,False,False,False
26,2025-10-13,organic,False,False,True
27,2026-01-24,influencer,False,False,True
28,2025-08-17,organic,False,False,False
29,2025-09-28,ctx_brand,False,False,False
30,2026-04-16,social,False,False,True
31,2026-05-10,organic,False,False,False
32,2026-08-02,ctx_brand,False,False,False
33,2025-12-02,ctx_category,False,False,False
34,2025-12-19,cpa,False,False,True
35,2026-01-25,ctx_category,False,False,False
36,2025-10-11,organic,False,False,True
37,2025-09-19,organic,False,False,True
38,2026-01-28,organic,False,False,False
39,2025-10-25,organic,False,False,False
40,2026-04-11,influencer,False,False,False
41,2026-01-13,organic,False,False,False
42,2026-06-12,organic,False,False,False
43,2026-04-23,ctx_brand,False,False,True
44,2025-11-27,organic,False,True,True
45,2026-06-12,ctx_brand,False,False,False
46,2026-06-02,organic,False,False,True
47,2025-12-25,cpa,True,False,False
48,2025-11-18,organic,False,False,False
49,2026-04-16,ctx_brand,False,False,False
50,2025-09-22,ctx_category,True,False,False
51,2025-10-15,organic,True,False,False
52,2025-08-03,organic,False,False,False
53,2026-05-26,ctx_brand,False,False,False
54,2026-04-09,cpa,True,False,False
55,2026-04-25,ctx_brand,False,False,False
56,2026-05-23,ctx_brand,False,False,False
57,2026-01-21,ctx_category,False,False,True
58,2026-03-04,ctx_brand,False,False,False
59,2025-09-22,social,False,False,False
60,2025-09-13,organic,False,False,False
61,2026-04-11,ctx_brand,False,False,True
62,2026-01-26,influencer,False,False,False
63,2026-03-03,ctx_category,False,False,False
64,2026-05-17,ctx_brand,True,False,False
65,2026-03-29,social,True,False,True
66,2026-02-26,ctx_brand,False,False,True
67,2026-02-28,ctx_brand,False,False,True
68,2025-11-24,organic,False,True,False
69,2025-08-12,organic,False,False,False
70,2026-01-13,organic,False,False,False
71,2025-10-21,social,False,False,True
72,2026-01-02,ctx_brand,False,False,True
73,2026-06-20,influencer,True,False,False
74,2025-10-28,organic,False,False,False
75,2025-08-23,organic,False,False,False
76,2025-11-15,ctx_category,False,False,True
77,2025-11-20,organic,False,True,True
78,2026-04-08,ctx_brand,True,False,False
79,2026-02-28,organic,False,False,False
80,2026-05-25,organic,False,False,False
81,2026-04-09,ctx_brand,False,False,False
82,2026-01-02,ctx_category,False,False,False
83,2026-06-05,organic,True,False,True
84,2025-10-03,organic,True,False,True
85,2025-08-09,organic,False,False,True
86,2025-09-04,organic,False,False,True
87,2026-05-01,influencer,False,False,False
88,2026-01-23,ctx_category,True,False,False
89,2025-10-01,organic,False,False,True
90,2026-02-06,organic,False,False,True
91,2025-09-27,organic,False,False,True
92,2026-04-21,organic,True,False,False
93,2026-01-17,influencer,False,False,False
94,2025-12-23,organic,False,False,True
95,2025-11-23,cpa,False,True,False
96,2026-03-27,cpa,False,False,False
97,2025-12-16,social,False,False,False
98,2025-09-03,ctx_brand,False,False,True
99,2025-09-14,organic,False,False,True
100,2026-07-31,cpa,True,False,False
101,2026-07-11,cpa,False,False,False
102,2026-04-23,ctx_brand,False,False,False
103,2025-11-09,organic,False,False,False
104,2026-08-03,organic,False,False,True
105,2026-05-23,organic,False,False,False
106,2026-04-29,organic,False,False,False
107,2026-01-18,ctx_brand,False,False,True
108,2025-11-12,cpa,False,False,False
109,2025-09-06,ctx_category,False,False,True
110,2026-07-09,ctx_category,False,False,False
111,2026-01-20,social,True,False,False
112,2025-10-16,ctx_category,False,False,False
113,2025-11-24,ctx_brand,True,True,False
114,2026-03-08,cpa,False,False,False
115,2025-10-06,organic,False,False,True
116,2026-06-21,influencer,False,False,False
117,2026-05-15,organic,False,False,False
118,2026-04-30,ctx_category,False,False,True
119,2026-01-11,ctx_brand,True,False,True
120,2026-03-26,ctx_brand,False,False,True
121,2026-03-10,ctx_brand,False,False,False
122,2026-04-04,organic,False,False,False
123,2025-09-02,social,False,False,False
124,2026-01-05,organic,True,False,False
125,2025-08-16,ctx_brand,False,False,False
126,2026-02-04,cpa,False,False,False
127,2025-12-04,ctx_category,True,False,False
128,2025-09-24,cpa,False,False,False
129,2025-09-09,organic,True,False,True
130,2026-03-11,organic,False,False,True
131,2025-10-04,organic,False,False,True
132,2026-07-17,cpa,True,False,False
133,2026-03-09,social,False,False,False
134,2025-12-10,cpa,False,False,True
135,2026-03-12,ctx_category,False,False,False
136,2025-08-09,organic,False,False,True
137,2026-07-30,organic,False,False,False
138,2026-01-30,ctx_category,False,False,False
139,2026-05-24,organic,False,False,False
140,2025-09-01,ctx_category,False,False,False
141,2026-02-01,cpa,False,False,False
142,2026-02-02,organic,False,False,False
143,2026-07-22,ctx_category,False,False,False
144,2026-03-05,ctx_brand,False,False,False
145,2026-01-27,organic,False,False,False
146,2025-11-10,organic,False,False,False
147,2025-12-04,ctx_brand,False,False,False
148,2026-02-14,social,False,False,False
149,2026-01-14,ctx_brand,False,False,False
150,2025-08-09,organic,False,False,False
151,2026-06-10,organic,False,False,False
152,2026-07-06,social,True,False,False
153,2025-09-23,organic,False,False,True
154,2026-02-26,ctx_category,False,False,True
155,2025-09-11,organic,False,False,True
156,2026-04-12,social,True,False,True
157,2025-11-15,organic,False,False,False
158,2026-04-07,organic,True,False,False
159,2026-05-03,ctx_brand,False,False,False
160,2026-05-19,social,True,False,False
161,2025-09-10,influencer,False,False,False
162,2026-07-14,tv,False,False,False
163,2025-10-27,ctx_brand,False,False,True
164,2025-08-15,ctx_category,False,False,False
165,2026-02-27,ctx_category,False,False,True
166,2025-12-19,ctx_category,False,False,True
167,2026-06-11,organic,False,False,False
168,2026-06-03,ctx_category,False,False,False
169,2025-11-29,influencer,False,True,False
170,2026-07-28,organic,False,False,True
171,2025-11-19,organic,False,False,False
172,2026-02-12,organic,False,False,True
173,2025-11-06,ctx_brand,False,False,False
174,2026-07-21,ctx_brand,True,False,False
175,2025-10-02,organic,False,False,False
176,2025-08-18,ctx_brand,False,False,False
177,2026-01-12,cpa,False,False,False
178,2026-08-12,organic,True,False,True
179,2026-07-04,social,True,False,False
180,2026-05-11,social,False,False,False
181,2026-07-04,ctx_category,True,False,False
182,2026-07-05,organic,False,False,False
183,2026-02-13,influencer,False,False,False
184,2025-11-28,organic,False,True,False
185,2026-05-20,organic,False,False,False
186,2026-04-08,organic,False,False,False
187,2025-12-20,cpa,False,False,False
188,2025-09-05,organic,False,False,False
189,2026-05-11,ctx_brand,False,False,False
190,2025-11-08,ctx_category,False,False,False
191,2026-07-22,ctx_category,False,False,False
192,2025-10-31,ctx_category,False,False,False
193,2025-09-16,organic,False,False,False
194,2026-06-11,ctx_category,False,False,False
195,2025-09-28,organic,False,False,False
196,2025-10-07,organic,False,False,False
197,2026-03-16,organic,False,False,False
198,2026-06-28,ctx_brand,False,False,False
199,2025-10-14,organic,False,False,False
200,2025-11-26,ctx_category,False,True,False
201,2026-05-22,organic,False,False,False
202,2026-08-04,ctx_brand,False,False,False
203,2026-02-06,organic,True,False,True
204,2025-09-24,ctx_brand,False,False,False
205,2025-08-06,cpa,False,False,False
206,2025-10-27,organic,False,False,False
207,2025-09-19,social,False,False,True
208,2026-04-14,ctx_brand,False,False,False
209,2025-09-16,organic,False,False,False
210,2026-02-08,organic,False,False,False
211,2026-04-21,organic,False,False,False
212,2026-03-09,social,False,False,True
213,2025-10-15,organic,False,False,False
214,2026-06-01,tv,False,False,False
215,2026-04-29,ctx_category,False,False,True
216,2026-05-08,ctx_brand,False,False,False
217,2025-09-19,tv,True,False,True
218,2025-09-16,organic,True,False,False
219,2026-07-18,social,False,False,False
220,2025-12-29,organic,False,False,False
221,2025-11-23,ctx_category,False,True,False
222,2026-02-02,organic,False,False,False
223,2026-04-09,cpa,True,False,False
224,2026-07-29,organic,False,False,False
225,2025-11-17,ctx_category,False,False,False
226,2026-07-17,influencer,False,False,False
227,2025-08-10,organic,False,False,False
228,2026-02-27,influencer,False,False,True
229,2026-03-29,ctx_brand,False,False,True
230,2025-09-10,social,True,False,False
231,2025-09-23,ctx_brand,False,False,False
232,2026-01-06,cpa,True,False,True
233,2026-08-02,cpa,True,False,False
234,2026-03-14,organic,False,False,False
235,2026-07-20,social,False,False,True
236,2026-06-01,tv,False,False,False
237,2026-01-25,social,False,False,False
238,2026-05-25,influencer,False,False,False
239,2025-08-07,social,False,False,False
240,2025-09-11,organic,False,False,False
241,2026-06-11,cpa,False,False,False
242,2026-05-29,ctx_category,False,False,False
243,2025-10-28,organic,False,False,False
244,2026-02-18,organic,False,False,False
245,2026-03-18,organic,False,False,False
246,2026-06-25,social,False,False,False
247,2026-03-17,social,False,False,False
248,2026-01-04,cpa,False,False,False
249,2025-12-20,organic,False,False,False
250,2026-01-09,organic,False,False,True
251,2026-04-05,organic,True,False,False
252,2026-06-25,ctx_category,False,False,False
253,2026-01-20,cpa,False,False,False
